Gene_Public_Name,Gene_WB220ID,DE_Pval,DE_FDR,DE_logFC
aat-9,WBGene00000010,1.00000000,1.00000000,0.00000000
abf-6,WBGene00000017,1.00000000,1.00000000,0.00000000
abu-1,WBGene00000024,1.00000000,1.00000000,0.00000000
abu-7,WBGene00000030,1.00000000,1.00000000,0.00000000
abu-9,WBGene00000032,1.00000000,1.00000000,0.00000000
abu-10,WBGene00000033,1.00000000,1.00000000,0.00000000
ace-2,WBGene00000036,1.00000000,1.00000000,0.00000000
acr-3,WBGene00000043,1.00000000,1.00000000,0.00000000
acr-11,WBGene00000050,1.00000000,1.00000000,0.00000000
acr-15,WBGene00000054,1.00000000,1.00000000,0.00000000
acr-21,WBGene00000060,1.00000000,1.00000000,0.00000000
lgc-11,WBGene00000061,1.00000000,1.00000000,0.00000000
acr-23,WBGene00000062,1.00000000,1.00000000,0.00000000
acy-2,WBGene00000069,1.00000000,1.00000000,0.00000000
acy-3,WBGene00000070,1.00000000,1.00000000,0.00000000
adm-2,WBGene00000074,1.00000000,1.00000000,0.00000000
aex-1,WBGene00000084,1.00000000,1.00000000,0.00000000
aip-1,WBGene00000097,1.00000000,1.00000000,0.00000000
air-1,WBGene00000098,1.00000000,1.00000000,0.00000000
ajm-1,WBGene00000100,1.00000000,1.00000000,0.00000000
akt-2,WBGene00000103,1.00000000,1.00000000,0.00000000
alh-2,WBGene00000108,1.00000000,1.00000000,0.00000000
alh-5,WBGene00000111,1.00000000,1.00000000,0.00000000
alh-6,WBGene00000112,1.00000000,1.00000000,0.00000000
alh-7,WBGene00000113,1.00000000,1.00000000,0.00000000
alh-8,WBGene00000114,1.00000000,1.00000000,0.00000000
alh-12,WBGene00000118,0.00044166,0.01721108,2.56601368
ama-1,WBGene00000123,1.00000000,1.00000000,0.00000000
amt-4,WBGene00000136,0.00001189,0.00086220,4.72107282
aos-1,WBGene00000142,1.00000000,1.00000000,0.00000000
apc-10,WBGene00000144,1.00000000,1.00000000,0.00000000
aps-1,WBGene00000159,1.00000000,1.00000000,0.00000000
apd-3,WBGene00000162,1.00000000,1.00000000,0.00000000
apx-1,WBGene00000168,1.00000000,1.00000000,0.00000000
aqp-1,WBGene00000169,0.00000006,0.00000929,4.85317636
aqp-2,WBGene00000170,1.00000000,1.00000000,0.00000000
aqp-9,WBGene00000177,1.00000000,1.00000000,0.00000000
arf-1.2,WBGene00000182,1.00000000,1.00000000,0.00000000
arf-3,WBGene00000183,1.00000000,1.00000000,0.00000000
arf-6,WBGene00000184,1.00000000,1.00000000,0.00000000
arg-1,WBGene00000185,1.00000000,1.00000000,0.00000000
ark-1,WBGene00000186,1.00000000,1.00000000,0.00000000
arl-3,WBGene00000188,1.00000000,1.00000000,0.00000000
arl-8,WBGene00000192,1.00000000,1.00000000,0.00000000
asg-2,WBGene00000210,1.00000000,1.00000000,0.00000000
asm-1,WBGene00000211,1.00000000,1.00000000,0.00000000
asm-3,WBGene00000213,0.00000000,0.00000013,5.34374649
asp-2,WBGene00000215,1.00000000,1.00000000,0.00000000
atf-5,WBGene00000221,1.00000000,1.00000000,0.00000000
atx-2,WBGene00000231,1.00000000,1.00000000,0.00000000
avr-15,WBGene00000233,1.00000000,1.00000000,0.00000000
bag-1,WBGene00000236,1.00000000,1.00000000,0.00000000
pah-1,WBGene00000240,1.00000000,1.00000000,0.00000000
bir-1,WBGene00000249,1.00000000,1.00000000,0.00000000
brd-1,WBGene00000265,1.00000000,1.00000000,0.00000000
bre-3,WBGene00000268,1.00000000,1.00000000,0.00000000
bre-4,WBGene00000269,1.00000000,1.00000000,0.00000000
brf-1,WBGene00000271,1.00000000,1.00000000,0.00000000
cal-3,WBGene00000287,1.00000000,1.00000000,0.00000000
cat-1,WBGene00000295,1.00000000,1.00000000,0.00000000
C04A11.t1,WBGene00000308,1.00000000,1.00000000,0.00000000
cct-5,WBGene00000380,1.00000000,1.00000000,0.00000000
cdd-1,WBGene00000391,1.00000000,1.00000000,0.00000000
cdd-2,WBGene00000392,1.00000000,1.00000000,0.00000000
cdh-9,WBGene00000401,1.00000000,1.00000000,0.00000000
cdk-4,WBGene00000406,1.00000000,1.00000000,0.00000000
cdk-5,WBGene00000407,1.00000000,1.00000000,0.00000000
cdk-7,WBGene00000408,1.00000000,1.00000000,0.00000000
cdk-8,WBGene00000409,1.00000000,1.00000000,0.00000000
ced-8,WBGene00000422,1.00000000,1.00000000,0.00000000
ceh-2,WBGene00000429,1.00000000,1.00000000,0.00000000
ceh-8,WBGene00000433,1.00000000,1.00000000,0.00000000
ceh-9,WBGene00000434,1.00000000,1.00000000,0.00000000
ceh-12,WBGene00000436,1.00000000,1.00000000,0.00000000
ceh-13,WBGene00000437,1.00000000,1.00000000,0.00000000
ceh-18,WBGene00000441,1.00000000,1.00000000,0.00000000
ceh-31,WBGene00000452,1.00000000,1.00000000,0.00000000
ceh-37,WBGene00000458,1.00000000,1.00000000,0.00000000
ceh-38,WBGene00000459,1.00000000,1.00000000,0.00000000
ceh-39,WBGene00000460,1.00000000,1.00000000,0.00000000
ceh-43,WBGene00000463,1.00000000,1.00000000,0.00000000
cpg-1,WBGene00000465,1.00000000,1.00000000,0.00000000
cep-1,WBGene00000467,1.00000000,1.00000000,0.00000000
cft-1,WBGene00000477,1.00000000,1.00000000,0.00000000
cgp-1,WBGene00000480,1.00000000,1.00000000,0.00000000
cha-1,WBGene00000481,1.00000000,1.00000000,0.00000000
chp-1,WBGene00000502,1.00000000,1.00000000,0.00000000
cit-1.1,WBGene00000507,1.00000000,1.00000000,0.00000000
cka-2,WBGene00000510,1.00000000,1.00000000,0.00000000
cki-1,WBGene00000516,1.00000000,1.00000000,0.00000000
cku-70,WBGene00000519,1.00000000,1.00000000,0.00000000
cku-80,WBGene00000520,1.00000000,1.00000000,0.00000000
clc-4,WBGene00000525,1.00000000,1.00000000,0.00000000
clh-1,WBGene00000528,1.00000000,1.00000000,0.00000000
clh-4,WBGene00000531,1.00000000,1.00000000,0.00000000
clk-2,WBGene00000537,1.00000000,1.00000000,0.00000000
cln-3.1,WBGene00000539,1.00000000,1.00000000,0.00000000
cln-3.2,WBGene00000540,1.00000000,1.00000000,0.00000000
cln-3.3,WBGene00000541,1.00000000,1.00000000,0.00000000
clp-6,WBGene00000546,1.00000000,1.00000000,0.00000000
clp-7,WBGene00000547,1.00000000,1.00000000,0.00000000
cnc-2,WBGene00000556,1.00000000,1.00000000,0.00000000
cng-3,WBGene00000563,1.00000000,1.00000000,0.00000000
cnk-1,WBGene00000564,1.00000000,1.00000000,0.00000000
cnt-1,WBGene00000565,1.00000000,1.00000000,0.00000000
cog-1,WBGene00000584,1.00000000,1.00000000,0.00000000
cogc-2,WBGene00000585,1.00000000,1.00000000,0.00000000
col-9,WBGene00000598,1.00000000,1.00000000,0.00000000
col-41,WBGene00000618,1.00000000,1.00000000,0.00000000
col-71,WBGene00000647,1.00000000,1.00000000,0.00000000
col-75,WBGene00000651,1.00000000,1.00000000,0.00000000
col-81,WBGene00000657,0.00035906,0.02308957,2.56310013
col-95,WBGene00000670,0.00000048,0.00005347,3.68630740
col-101,WBGene00000675,0.00000000,0.00000005,5.09941552
col-110,WBGene00000684,1.00000000,1.00000000,0.00000000
col-124,WBGene00000698,0.00000004,0.00000680,4.32782871
col-131,WBGene00000705,1.00000000,1.00000000,0.00000000
col-132,WBGene00000706,1.00000000,1.00000000,0.00000000
col-155,WBGene00000728,1.00000000,1.00000000,0.00000000
col-158,WBGene00000731,1.00000000,1.00000000,0.00000000
col-159,WBGene00000732,1.00000000,1.00000000,0.00000000
col-172,WBGene00000745,1.00000000,1.00000000,0.00000000
col-176,WBGene00000749,1.00000000,1.00000000,0.00000000
col-181,WBGene00000754,0.00015763,0.00787244,2.63083118
coq-3,WBGene00000763,1.00000000,1.00000000,0.00000000
coq-8,WBGene00000767,1.00000000,1.00000000,0.00000000
cpb-2,WBGene00000771,1.00000000,1.00000000,0.00000000
cpb-3,WBGene00000772,1.00000000,1.00000000,0.00000000
cpf-1,WBGene00000773,1.00000000,1.00000000,0.00000000
cpf-2,WBGene00000774,1.00000000,1.00000000,0.00000000
cpl-1,WBGene00000776,1.00000000,1.00000000,0.00000000
cpn-4,WBGene00000780,1.00000000,1.00000000,0.00000000
cpr-1,WBGene00000781,0.00016165,0.00803971,2.62979460
cpr-2,WBGene00000782,1.00000000,1.00000000,0.00000000
cpr-4,WBGene00000784,1.00000000,1.00000000,0.00000000
crb-1,WBGene00000792,1.00000000,1.00000000,0.00000000
crh-1,WBGene00000793,1.00000000,1.00000000,0.00000000
crn-6,WBGene00000799,1.00000000,1.00000000,0.00000000
cars-1,WBGene00000800,1.00000000,1.00000000,0.00000000
csb-1,WBGene00000803,1.00000000,1.00000000,0.00000000
csc-1,WBGene00000804,1.00000000,1.00000000,0.00000000
cul-3,WBGene00000838,1.00000000,1.00000000,0.00000000
