Gene_Public_Name,Gene_WB220ID,DE_Pval,DE_FDR,DE_logFC,TFhit_pval,TFHit_MinAbsDistance,TFHit_MinRelDistance,TotalHits_in_range
acy-3,WBGene00000070,1.00000000,1.00000000,0.00000000,0.00000000,11764,11764,1
aip-1,WBGene00000097,1.00000000,1.00000000,0.00000000,0.00000000,76,-76,1
air-1,WBGene00000098,1.00000000,1.00000000,0.00000000,0.00000063,88,-88,1
ajm-1,WBGene00000100,1.00000000,1.00000000,0.00000000,0.00000071,571,-571,1
alh-5,WBGene00000111,1.00000000,1.00000000,0.00000000,0.00000000,3962,3962,1
alh-6,WBGene00000112,1.00000000,1.00000000,0.00000000,0.00000000,4178,4178,1
alh-8,WBGene00000114,1.00000000,1.00000000,0.00000000,0.00000000,20,-20,1
alh-12,WBGene00000118,0.00044166,0.01721108,2.56601368,0.00001200,115,-115,1
ama-1,WBGene00000123,1.00000000,1.00000000,0.00000000,0.00000005,537,-537,1
aps-1,WBGene00000159,1.00000000,1.00000000,0.00000000,0.00000000,97,-97,1
aqp-2,WBGene00000170,1.00000000,1.00000000,0.00000000,0.00000000,3415,3415,1
aqp-9,WBGene00000177,1.00000000,1.00000000,0.00000000,0.00000000,121,-121,1
arf-1.2,WBGene00000182,1.00000000,1.00000000,0.00000000,0.00000000,403,-403,1
arf-3,WBGene00000183,1.00000000,1.00000000,0.00000000,0.00000000,312,-312,1
arf-6,WBGene00000184,1.00000000,1.00000000,0.00000000,0.00000335,148,-148,1
arl-8,WBGene00000192,1.00000000,1.00000000,0.00000000,0.00000000,573,-573,1
asg-2,WBGene00000210,1.00000000,1.00000000,0.00000000,0.00000000,206,-206,1
atf-5,WBGene00000221,1.00000000,1.00000000,0.00000000,0.00000000,1700,1700,1
atx-2,WBGene00000231,1.00000000,1.00000000,0.00000000,0.00000000,10,10,2
bag-1,WBGene00000236,1.00000000,1.00000000,0.00000000,0.00000000,1005,1005,1
pah-1,WBGene00000240,1.00000000,1.00000000,0.00000000,0.00000000,2655,2655,1
bir-1,WBGene00000249,1.00000000,1.00000000,0.00000000,0.00000000,42,-42,1
C04A11.t1,WBGene00000308,1.00000000,1.00000000,0.00000000,0.00000000,37,37,1
cct-5,WBGene00000380,1.00000000,1.00000000,0.00000000,0.00000000,9349,9349,1
cdd-1,WBGene00000391,1.00000000,1.00000000,0.00000000,0.00000000,2386,2386,1
cdk-7,WBGene00000408,1.00000000,1.00000000,0.00000000,0.00000000,10424,10424,1
ceh-38,WBGene00000459,1.00000000,1.00000000,0.00000000,0.00000000,39,-39,1
ceh-39,WBGene00000460,1.00000000,1.00000000,0.00000000,0.00000000,2528,2528,1
cgp-1,WBGene00000480,1.00000000,1.00000000,0.00000000,0.00000261,4943,4943,1
cku-80,WBGene00000520,1.00000000,1.00000000,0.00000000,0.00000000,350,-350,1
cln-3.3,WBGene00000541,1.00000000,1.00000000,0.00000000,0.00000008,33,-33,1
clp-7,WBGene00000547,1.00000000,1.00000000,0.00000000,0.00000004,10635,10635,1
cnk-1,WBGene00000564,1.00000000,1.00000000,0.00000000,0.00000000,286,-286,1
cogc-2,WBGene00000585,1.00000000,1.00000000,0.00000000,0.00000000,5257,5257,1
col-71,WBGene00000647,1.00000000,1.00000000,0.00000000,0.00000000,2761,2761,1
cpf-1,WBGene00000773,1.00000000,1.00000000,0.00000000,0.00000000,2183,2183,1
cpf-2,WBGene00000774,1.00000000,1.00000000,0.00000000,0.00000000,2069,2069,1
cpl-1,WBGene00000776,1.00000000,1.00000000,0.00000000,0.00000009,2910,2910,1
cpr-4,WBGene00000784,1.00000000,1.00000000,0.00000000,0.00000000,131,-131,1
crh-1,WBGene00000793,1.00000000,1.00000000,0.00000000,0.00000000,303,-303,1
csb-1,WBGene00000803,1.00000000,1.00000000,0.00000000,0.00000000,5156,5156,1
csc-1,WBGene00000804,1.00000000,1.00000000,0.00000000,0.00000000,157,-157,1
cul-3,WBGene00000838,1.00000000,1.00000000,0.00000000,0.00000000,319,-319,1
cux-7,WBGene00000854,1.00000000,1.00000000,0.00000000,0.00000000,2251,2251,1
cyb-1,WBGene00000865,1.00000000,1.00000000,0.00000000,0.00000000,583,-583,1
cyk-4,WBGene00000875,1.00000000,1.00000000,0.00000000,0.00000000,2849,2849,1
cyn-1,WBGene00000877,1.00000000,1.00000000,0.00000000,0.00000000,177,-177,1
cyn-4,WBGene00000880,1.00000000,1.00000000,0.00000000,0.00000000,1982,1982,1
cyn-7,WBGene00000883,1.00000000,1.00000000,0.00000000,0.00000000,1176,1176,1
daf-1,WBGene00000897,1.00000000,1.00000000,0.00000000,0.00000000,77,-77,1
daf-5,WBGene00000901,1.00000000,1.00000000,0.00000000,0.00000000,4758,4758,1
daf-16,WBGene00000912,1.00000000,1.00000000,0.00000000,0.00000000,234,-234,1
dao-5,WBGene00000931,1.00000000,1.00000000,0.00000000,0.00000001,4466,4466,1
dcs-1,WBGene00000940,1.00000000,1.00000000,0.00000000,0.00000000,3436,3436,1
dhs-8,WBGene00000972,1.00000000,1.00000000,0.00000000,0.00009030,31,31,1
dhs-9,WBGene00000973,1.00000000,1.00000000,0.00000000,0.00000079,3891,3891,1
dhs-30,WBGene00000993,1.00000000,1.00000000,0.00000000,0.00000398,5424,5424,1
dnj-11,WBGene00001029,1.00000000,1.00000000,0.00000000,0.00000000,254,-254,1
dnj-13,WBGene00001031,1.00000000,1.00000000,0.00000000,0.00000000,181,-181,1
dre-1,WBGene00001089,1.00000000,1.00000000,0.00000000,0.00000023,4862,4862,1
drh-2,WBGene00001091,1.00000000,1.00000000,0.00000000,0.00000004,4987,4987,1
eat-16,WBGene00001145,1.00000000,1.00000000,0.00000000,0.00000000,96,-96,1
bcat-1,WBGene00001149,1.00000000,1.00000000,0.00000000,0.00000000,377,-377,1
eef-1A.2,WBGene00001169,1.00000000,1.00000000,0.00000000,0.00000000,378,-378,1
egl-21,WBGene00001189,1.00000000,1.00000000,0.00000000,0.00000000,3463,3463,1
eif-3.C,WBGene00001226,1.00000000,1.00000000,0.00000000,0.00000000,3484,3484,1
eif-3.G,WBGene00001230,1.00000000,1.00000000,0.00000000,0.00000001,329,-329,1
elb-1,WBGene00001235,1.00000000,1.00000000,0.00000000,0.00000000,829,829,1
elo-2,WBGene00001240,0.00071325,0.02502828,2.49591519,0.00057671,1477,1477,1
eor-2,WBGene00001325,1.00000000,1.00000000,0.00000000,0.00000000,180,-180,1
epn-1,WBGene00001329,1.00000000,1.00000000,0.00000000,0.00000000,3112,3112,1
erm-1,WBGene00001333,1.00000000,1.00000000,0.00000000,0.00000017,7886,7886,1
far-1,WBGene00001385,1.00000000,1.00000000,0.00000000,0.00001510,936,936,1
far-2,WBGene00001386,1.00000000,1.00000000,0.00000000,0.00001510,376,-376,1
fem-1,WBGene00001411,1.00000000,1.00000000,0.00000000,0.00000009,4875,4875,1
fem-2,WBGene00001412,1.00000000,1.00000000,0.00000000,0.00003780,2761,2761,1
fkb-1,WBGene00001426,1.00000000,1.00000000,0.00000000,0.00000000,83,-83,1
fmo-2,WBGene00001477,0.00003887,0.00241155,-5.46875174,0.00000000,81,-81,1
fmo-5,WBGene00001480,1.00000000,1.00000000,0.00000000,0.00000000,4349,4349,1
ftt-2,WBGene00001502,1.00000000,1.00000000,0.00000000,0.00000000,2347,2347,1
gcy-33,WBGene00001553,1.00000000,1.00000000,0.00000000,0.00000000,6318,6318,1
gei-6,WBGene00001563,1.00000000,1.00000000,0.00000000,0.00000000,4685,4685,1
acdh-13,WBGene00001566,1.00000000,1.00000000,0.00000000,0.00000000,2445,2445,1
gei-11,WBGene00001568,1.00000000,1.00000000,0.00000000,0.00000005,68,-68,1
gfi-3,WBGene00001583,1.00000000,1.00000000,0.00000000,0.00000000,162,-162,1
glr-6,WBGene00001617,1.00000000,1.00000000,0.00000000,0.00000000,4664,4664,1
gpr-2,WBGene00001689,1.00000000,1.00000000,0.00000000,0.00000000,2245,2245,1
gsa-1,WBGene00001745,1.00000000,1.00000000,0.00000000,0.00000000,240,-240,1
gsp-2,WBGene00001748,1.00000000,1.00000000,0.00000000,0.00000000,207,-207,1
gst-20,WBGene00001768,1.00000000,1.00000000,0.00000000,0.00000000,1735,1735,1
gst-27,WBGene00001775,1.00000000,1.00000000,0.00000000,0.00000000,1188,1188,1
gst-28,WBGene00001776,1.00000000,1.00000000,0.00000000,0.00000000,1390,1390,1
gst-38,WBGene00001786,1.00000000,1.00000000,0.00000000,0.00001430,888,888,1
gst-43,WBGene00001791,1.00000000,1.00000000,0.00000000,0.00000006,226,-226,1
gta-1,WBGene00001794,1.00000000,1.00000000,0.00000000,0.00000000,260,-260,1
hcp-1,WBGene00001829,1.00000000,1.00000000,0.00000000,0.00002490,293,-293,1
hgo-1,WBGene00001843,1.00000000,1.00000000,0.00000000,0.00000000,6060,6060,1
him-17,WBGene00001874,1.00000000,1.00000000,0.00000000,0.00000097,154,-154,1
his-35,WBGene00001909,1.00000000,1.00000000,0.00000000,0.00000000,801,801,1
his-41,WBGene00001915,1.00000000,1.00000000,0.00000000,0.00000000,70,-70,1
hpr-9,WBGene00001997,1.00000000,1.00000000,0.00000000,0.00000000,158,-158,1
hars-1,WBGene00002001,1.00000000,1.00000000,0.00000000,0.00000000,134,-134,1
hsp-12.6,WBGene00002013,1.00000000,1.00000000,0.00000000,0.00000000,1040,1040,1
hsp-43,WBGene00002024,1.00000000,1.00000000,0.00000000,0.00000373,2747,2747,1
hsr-9,WBGene00002027,1.00000000,1.00000000,0.00000000,0.00000000,278,-278,1
icp-1,WBGene00002047,1.00000000,1.00000000,0.00000000,0.00000000,2455,2455,1
iff-2,WBGene00002065,1.00000000,1.00000000,0.00000000,0.00000000,2085,2085,1
ile-1,WBGene00002070,1.00000000,1.00000000,0.00000000,0.00000009,2751,2751,1
ima-1,WBGene00002072,1.00000000,1.00000000,0.00000000,0.00000000,264,-264,1
imb-3,WBGene00002077,1.00000000,1.00000000,0.00000000,0.00000000,4336,4336,1
xpo-1,WBGene00002078,1.00000000,1.00000000,0.00000000,0.00000000,412,-412,1
xpo-3,WBGene00002080,1.00000000,1.00000000,0.00000000,0.00003960,7649,7649,1
kat-1,WBGene00002183,1.00000000,1.00000000,0.00000000,0.00000394,319,-319,1
kin-3,WBGene00002191,1.00000000,1.00000000,0.00000000,0.00000033,154,-154,1
kin-10,WBGene00002196,1.00000000,1.00000000,0.00000000,0.00000230,2191,2191,1
kin-29,WBGene00002210,1.00000000,1.00000000,0.00000000,0.00000000,8613,8613,1
klp-19,WBGene00002229,1.00000000,1.00000000,0.00000000,0.00000000,4559,4559,1
lbp-4,WBGene00002256,1.00000000,1.00000000,0.00000000,0.00000002,62,-62,1
lec-2,WBGene00002265,1.00000000,1.00000000,0.00000000,0.00000000,6572,6572,1
ect-2,WBGene00002297,1.00000000,1.00000000,0.00000000,0.00003350,5038,5038,1
let-49,WBGene00002324,1.00000000,1.00000000,0.00000000,0.00009830,14,-14,1
lgg-1,WBGene00002980,1.00000000,1.00000000,0.00000000,0.00000000,964,964,1
lgg-2,WBGene00002981,1.00000000,1.00000000,0.00000000,0.00000000,1878,1878,1
lin-5,WBGene00002994,1.00000000,1.00000000,0.00000000,0.00000102,18,-18,1
lin-9,WBGene00002998,1.00000000,1.00000000,0.00000000,0.00000000,4041,4041,1
lin-36,WBGene00003021,1.00000000,1.00000000,0.00000000,0.00000000,4477,4477,1
lin-45,WBGene00003030,1.00000000,1.00000000,0.00000000,0.00000000,6121,6121,1
lpd-7,WBGene00003063,1.00000000,1.00000000,0.00000000,0.00000000,257,-257,1
mbk-1,WBGene00003149,1.00000000,1.00000000,0.00000000,0.00000000,4858,4858,1
mdf-2,WBGene00003161,1.00000000,1.00000000,0.00000000,0.00000000,4876,4876,1
mdh-2,WBGene00003162,1.00000000,1.00000000,0.00000000,0.00000000,2056,2056,1
