Gene_Public_Name,Gene_WB220ID,DE_Pval,DE_FDR,DE_logFC,TFhit_pval,TFHit_MinAbsDistance,TFHit_MinRelDistance,TotalHits_in_range
aap-1,WBGene00000001,1.00000000,1.00000000,0.00000000,0.00003350,1619,-1619,1
aat-2,WBGene00000003,1.00000000,1.00000000,0.00000000,0.00000001,3219,3219,1
aat-3,WBGene00000004,1.00000000,1.00000000,0.00000000,0.00000073,478,-478,1
aat-5,WBGene00000006,1.00000000,1.00000000,0.00000000,0.00000000,5633,5633,1
abf-3,WBGene00000014,1.00000000,1.00000000,0.00000000,0.00000000,1152,-1152,1
aco-2,WBGene00000041,1.00000000,1.00000000,0.00000000,0.00000000,289,-289,2
acr-23,WBGene00000062,1.00000000,1.00000000,0.00000000,0.00001070,8938,8938,1
act-1,WBGene00000063,1.00000000,1.00000000,0.00000000,0.00000000,614,-614,2
act-2,WBGene00000064,1.00000000,1.00000000,0.00000000,0.00000000,1816,1816,1
act-3,WBGene00000065,1.00000000,1.00000000,0.00000000,0.00000000,1910,1910,3
act-4,WBGene00000066,1.00000000,1.00000000,0.00000000,0.00000000,60,60,2
act-5,WBGene00000067,1.00000000,1.00000000,0.00000000,0.00000000,1992,1992,1
acy-1,WBGene00000068,1.00000000,1.00000000,0.00000000,0.00000000,188,-188,2
acy-3,WBGene00000070,1.00000000,1.00000000,0.00000000,0.00000000,11764,11764,1
adm-4,WBGene00000075,1.00000000,1.00000000,0.00000000,0.00000011,3522,3522,1
adr-1,WBGene00000079,1.00000000,1.00000000,0.00000000,0.00000000,716,-716,1
adr-2,WBGene00000080,1.00000000,1.00000000,0.00000000,0.00000000,3412,3412,1
adt-2,WBGene00000083,1.00000000,1.00000000,0.00000000,0.00001990,1400,1400,1
aex-5,WBGene00000088,1.00000000,1.00000000,0.00000000,0.00000100,5681,5681,1
agt-1,WBGene00000093,1.00000000,1.00000000,0.00000000,0.00028832,2066,2066,1
agt-2,WBGene00000094,1.00000000,1.00000000,0.00000000,0.00000000,1625,1625,1
aha-1,WBGene00000095,1.00000000,1.00000000,0.00000000,0.00000000,3393,3393,1
aip-1,WBGene00000097,1.00000000,1.00000000,0.00000000,0.00000000,76,-76,1
air-1,WBGene00000098,1.00000000,1.00000000,0.00000000,0.00000063,88,-88,1
air-2,WBGene00000099,1.00000000,1.00000000,0.00000000,0.00000000,350,-350,1
ajm-1,WBGene00000100,1.00000000,1.00000000,0.00000000,0.00000071,571,-571,1
aka-1,WBGene00000101,1.00000000,1.00000000,0.00000000,0.00000000,6246,6246,1
akt-1,WBGene00000102,1.00000000,1.00000000,0.00000000,0.00000000,1072,-1072,2
akt-2,WBGene00000103,1.00000000,1.00000000,0.00000000,0.00000000,738,-738,1
alg-1,WBGene00000105,1.00000000,1.00000000,0.00000000,0.00000000,1713,1713,1
alg-2,WBGene00000106,1.00000000,1.00000000,0.00000000,0.00000099,2,2,1
alh-1,WBGene00000107,1.00000000,1.00000000,0.00000000,0.00000000,450,-450,2
alh-3,WBGene00000109,1.00000000,1.00000000,0.00000000,0.00000000,897,-897,1
alh-4,WBGene00000110,1.00000000,1.00000000,0.00000000,0.00000000,2936,2936,1
alh-5,WBGene00000111,1.00000000,1.00000000,0.00000000,0.00000000,3962,3962,1
alh-6,WBGene00000112,1.00000000,1.00000000,0.00000000,0.00000000,4178,4178,1
alh-8,WBGene00000114,1.00000000,1.00000000,0.00000000,0.00000000,20,-20,1
alh-9,WBGene00000115,1.00000000,1.00000000,0.00000000,0.00000000,27,-27,1
alh-12,WBGene00000118,0.00044166,0.01721108,2.56601368,0.00001200,115,-115,1
aly-2,WBGene00000121,1.00000000,1.00000000,0.00000000,0.00000000,277,-277,1
ama-1,WBGene00000123,1.00000000,1.00000000,0.00000000,0.00000005,537,-537,1
anc-1,WBGene00000140,1.00000000,1.00000000,0.00000000,0.00004700,206,-206,1
ape-1,WBGene00000146,1.00000000,1.00000000,0.00000000,0.00000084,820,820,3
app-1,WBGene00000155,1.00000000,1.00000000,0.00000000,0.00000000,2991,2991,1
apg-1,WBGene00000158,1.00000000,1.00000000,0.00000000,0.00000000,155,-155,1
aps-1,WBGene00000159,1.00000000,1.00000000,0.00000000,0.00000000,97,-97,1
apb-1,WBGene00000160,1.00000000,1.00000000,0.00000000,0.00000000,13281,13281,1
apa-2,WBGene00000161,1.00000000,1.00000000,0.00000000,0.00000000,1151,1151,1
apd-3,WBGene00000162,1.00000000,1.00000000,0.00000000,0.00000298,15007,15007,1
aps-3,WBGene00000165,1.00000000,1.00000000,0.00000000,0.00000000,857,857,1
aqp-2,WBGene00000170,1.00000000,1.00000000,0.00000000,0.00000000,1325,1325,2
aqp-9,WBGene00000177,1.00000000,1.00000000,0.00000000,0.00000000,121,-121,1
aqp-10,WBGene00000178,1.00000000,1.00000000,0.00000000,0.00001030,1887,1887,1
arf-1.2,WBGene00000182,1.00000000,1.00000000,0.00000000,0.00000000,403,-403,1
arf-3,WBGene00000183,1.00000000,1.00000000,0.00000000,0.00000000,312,-312,1
arf-6,WBGene00000184,1.00000000,1.00000000,0.00000000,0.00000335,148,-148,1
arl-8,WBGene00000192,1.00000000,1.00000000,0.00000000,0.00000000,573,-573,1
arr-1,WBGene00000195,1.00000000,1.00000000,0.00000000,0.00000000,1087,-1087,1
aars-1,WBGene00000196,1.00000000,1.00000000,0.00000000,0.00000000,4516,4516,1
aars-2,WBGene00000197,1.00000000,1.00000000,0.00000000,0.00000024,229,-229,1
arx-2,WBGene00000200,1.00000000,1.00000000,0.00000000,0.00005560,3786,3786,1
arx-3,WBGene00000201,1.00000000,1.00000000,0.00000000,0.00000000,6294,6294,1
arx-6,WBGene00000204,1.00000000,1.00000000,0.00000000,0.00000000,116,-116,1
arx-7,WBGene00000205,1.00000000,1.00000000,0.00000000,0.00000000,964,964,1
asb-2,WBGene00000207,1.00000000,1.00000000,0.00000000,0.00000000,236,-236,1
asg-1,WBGene00000209,1.00000000,1.00000000,0.00000000,0.00000036,269,-269,1
asg-2,WBGene00000210,1.00000000,1.00000000,0.00000000,0.00000000,206,-206,1
asp-1,WBGene00000214,1.00000000,1.00000000,0.00000000,0.00000335,2468,2468,1
atf-5,WBGene00000221,1.00000000,1.00000000,0.00000000,0.00000000,1700,1700,1
atf-6,WBGene00000222,1.00000000,1.00000000,0.00000000,0.00000000,290,-290,1
atgp-1,WBGene00000224,1.00000000,1.00000000,0.00000000,0.00000036,442,-442,1
atgp-2,WBGene00000225,1.00000000,1.00000000,0.00000000,0.00000000,5457,5457,1
atp-2,WBGene00000229,1.00000000,1.00000000,0.00000000,0.00000000,224,-224,1
atp-3,WBGene00000230,1.00000000,1.00000000,0.00000000,0.00000000,1410,1410,1
atx-2,WBGene00000231,1.00000000,1.00000000,0.00000000,0.00000000,10,10,2
baf-1,WBGene00000235,1.00000000,1.00000000,0.00000000,0.00000000,60,-60,2
bag-1,WBGene00000236,1.00000000,1.00000000,0.00000000,0.00000000,1005,1005,1
pah-1,WBGene00000240,1.00000000,1.00000000,0.00000000,0.00000000,1764,1764,3
bca-1,WBGene00000245,1.00000000,1.00000000,0.00000000,0.00000000,3155,3155,1
bec-1,WBGene00000247,1.00000000,1.00000000,0.00000000,0.00000000,4413,4413,1
ben-1,WBGene00000248,1.00000000,1.00000000,0.00000000,0.00000000,2397,2397,1
bir-1,WBGene00000249,1.00000000,1.00000000,0.00000000,0.00000000,42,-42,1
bir-2,WBGene00000250,1.00000000,1.00000000,0.00000000,0.00000427,42,-42,1
F23H11.5,WBGene00000263,1.00000000,1.00000000,0.00000000,0.00062360,1319,1319,1
brc-1,WBGene00000264,1.00000000,1.00000000,0.00000000,0.00000000,10061,10061,2
brd-1,WBGene00000265,1.00000000,1.00000000,0.00000000,0.00000000,2614,2614,2
bre-3,WBGene00000268,1.00000000,1.00000000,0.00000000,0.00007310,14022,14022,1
bre-5,WBGene00000270,1.00000000,1.00000000,0.00000000,0.00000620,1985,1985,1
brp-1,WBGene00000273,1.00000000,1.00000000,0.00000000,0.00000000,193,-193,1
btf-1,WBGene00000274,1.00000000,1.00000000,0.00000000,0.00000000,240,-240,1
cal-2,WBGene00000286,1.00000000,1.00000000,0.00000000,0.00000000,1330,-1330,2
cap-1,WBGene00000292,1.00000000,1.00000000,0.00000000,0.00000000,2063,2063,1
cap-2,WBGene00000293,1.00000000,1.00000000,0.00000000,0.00000000,203,-203,1
cas-1,WBGene00000294,1.00000000,1.00000000,0.00000000,0.00000537,6749,6749,1
cav-2,WBGene00000302,1.00000000,1.00000000,0.00000000,0.00000000,192,-192,1
C04A11.t1,WBGene00000308,1.00000000,1.00000000,0.00000000,0.00000000,37,37,1
cbp-1,WBGene00000366,1.00000000,1.00000000,0.00000000,0.00000000,99,-99,2
ccb-1,WBGene00000368,1.00000000,1.00000000,0.00000000,0.00000000,6538,6538,1
ccf-1,WBGene00000369,1.00000000,1.00000000,0.00000000,0.00000016,1681,1681,2
ccg-1,WBGene00000370,1.00000000,1.00000000,0.00000000,0.00099164,5729,5729,1
cco-1,WBGene00000371,1.00000000,1.00000000,0.00000000,0.00000000,61,-61,2
cyp-14A5,WBGene00000373,1.00000000,1.00000000,0.00000000,0.00000000,4259,4259,1
cct-1,WBGene00000377,1.00000000,1.00000000,0.00000000,0.00000000,220,-220,1
cct-2,WBGene00000378,1.00000000,1.00000000,0.00000000,0.00000003,302,-302,1
cct-4,WBGene00000379,1.00000000,1.00000000,0.00000000,0.00000256,190,-190,1
cct-5,WBGene00000380,1.00000000,1.00000000,0.00000000,0.00000000,6996,6996,2
cct-6,WBGene00000381,1.00000000,1.00000000,0.00000000,0.00000000,2479,2479,1
cdc-6,WBGene00000382,1.00000000,1.00000000,0.00000000,0.00000000,2531,2531,1
cdc-14,WBGene00000383,1.00000000,1.00000000,0.00000000,0.00000000,6053,6053,1
cdd-1,WBGene00000391,1.00000000,1.00000000,0.00000000,0.00000000,2386,2386,1
cdk-5,WBGene00000407,1.00000000,1.00000000,0.00000000,0.00000000,315,315,2
cdk-7,WBGene00000408,1.00000000,1.00000000,0.00000000,0.00000000,10424,10424,2
cdk-9,WBGene00000410,1.00000000,1.00000000,0.00000000,0.00000000,172,-172,1
cdl-1,WBGene00000411,1.00000000,1.00000000,0.00000000,0.00000000,45,-45,1
cdt-1,WBGene00000413,1.00000000,1.00000000,0.00000000,0.00000000,4945,4945,1
cec-1,WBGene00000414,1.00000000,1.00000000,0.00000000,0.00000000,1017,-1017,1
ced-2,WBGene00000416,1.00000000,1.00000000,0.00000000,0.00000000,1269,-1269,1
ced-5,WBGene00000419,1.00000000,1.00000000,0.00000000,0.00000000,172,-172,1
ced-9,WBGene00000423,1.00000000,1.00000000,0.00000000,0.00000000,987,-987,1
ced-11,WBGene00000425,1.00000000,1.00000000,0.00000000,0.00001310,475,-475,1
ceh-5,WBGene00000430,1.00000000,1.00000000,0.00000000,0.00000000,1779,-1779,1
ceh-20,WBGene00000443,1.00000000,1.00000000,0.00000000,0.00000000,784,-784,1
ceh-38,WBGene00000459,1.00000000,1.00000000,0.00000000,0.00000000,39,-39,1
ceh-39,WBGene00000460,1.00000000,1.00000000,0.00000000,0.00000000,2528,2528,1
ceh-44,WBGene00000464,1.00000000,1.00000000,0.00000000,0.00000000,1656,-1656,1
cel-1,WBGene00000466,1.00000000,1.00000000,0.00000000,0.00000000,42,42,1
cey-1,WBGene00000472,1.00000000,1.00000000,0.00000000,0.00000000,2610,2610,2
cey-2,WBGene00000473,1.00000000,1.00000000,0.00000000,0.00001780,1094,-1094,1
cey-4,WBGene00000475,1.00000000,1.00000000,0.00000000,0.00000000,2290,2290,1
cgh-1,WBGene00000479,1.00000000,1.00000000,0.00000000,0.00000000,3142,3142,2
cgp-1,WBGene00000480,1.00000000,1.00000000,0.00000000,0.00000261,4943,4943,1
che-3,WBGene00000485,1.00000000,1.00000000,0.00000000,0.00012861,21472,21472,1
che-13,WBGene00000492,1.00000000,1.00000000,0.00000000,0.00000000,10364,10364,1
chs-1,WBGene00000496,1.00000000,1.00000000,0.00000000,0.00000154,1197,-1197,1
chk-1,WBGene00000498,1.00000000,1.00000000,0.00000000,0.00000000,2955,2955,1
chn-1,WBGene00000500,1.00000000,1.00000000,0.00000000,0.00001200,2634,2634,1
chp-1,WBGene00000502,1.00000000,1.00000000,0.00000000,0.00003350,2642,2642,1
cic-1,WBGene00000506,1.00000000,1.00000000,0.00000000,0.00000000,7188,7188,1
cka-1,WBGene00000509,1.00000000,1.00000000,0.00000000,0.00000000,5679,5679,1
ckb-2,WBGene00000512,1.00000000,1.00000000,0.00000000,0.00000000,1731,1731,1
ckb-3,WBGene00000513,1.00000000,1.00000000,0.00000000,0.00000000,1322,-1322,1
ckb-4,WBGene00000514,1.00000000,1.00000000,0.00000000,0.00002240,3042,3042,1
cki-1,WBGene00000516,1.00000000,1.00000000,0.00000000,0.00000000,1850,-1850,1
cki-2,WBGene00000517,1.00000000,1.00000000,0.00000000,0.00000000,45,45,1
cku-80,WBGene00000520,1.00000000,1.00000000,0.00000000,0.00000000,350,-350,1
clh-5,WBGene00000532,1.00000000,1.00000000,0.00000000,0.00000069,4547,4547,1
cpi-2,WBGene00000534,1.00000000,1.00000000,0.00000000,0.00000000,184,184,1
cpi-1,WBGene00000535,1.00000000,1.00000000,0.00000000,0.00008250,1069,1069,1
cln-3.3,WBGene00000541,1.00000000,1.00000000,0.00000000,0.00000008,33,-33,1
clp-7,WBGene00000547,1.00000000,1.00000000,0.00000000,0.00000004,10635,10635,1
clu-1,WBGene00000550,1.00000000,1.00000000,0.00000000,0.00000000,5450,5450,1
cmd-1,WBGene00000552,1.00000000,1.00000000,0.00000000,0.00000000,40,40,1
cmk-1,WBGene00000553,1.00000000,1.00000000,0.00000000,0.00000000,291,-291,1
cnb-1,WBGene00000554,1.00000000,1.00000000,0.00000000,0.00000000,344,-344,1
cnk-1,WBGene00000564,1.00000000,1.00000000,0.00000000,0.00000000,286,-286,1
cnt-1,WBGene00000565,1.00000000,1.00000000,0.00000000,0.00000000,17832,17832,1
cnx-1,WBGene00000567,1.00000000,1.00000000,0.00000000,0.00000000,3048,3048,2
cogc-2,WBGene00000585,1.00000000,1.00000000,0.00000000,0.00000000,5257,5257,1
coh-1,WBGene00000591,1.00000000,1.00000000,0.00000000,0.00000155,10021,10021,1
col-2,WBGene00000593,1.00000000,1.00000000,0.00000000,0.00000000,1453,1453,1
col-3,WBGene00000594,1.00000000,1.00000000,0.00000000,0.00000000,274,-274,2
col-8,WBGene00000597,0.00004309,0.00264604,2.96971011,0.00000006,1880,1880,1
col-10,WBGene00000599,1.00000000,1.00000000,0.00000000,0.00000192,1163,1163,2
col-38,WBGene00000615,1.00000000,1.00000000,0.00000000,0.00000000,1515,1515,1
col-63,WBGene00000639,1.00000000,1.00000000,0.00000000,0.00000079,1980,1980,1
col-66,WBGene00000642,1.00000000,1.00000000,0.00000000,0.00000394,14,-14,1
col-71,WBGene00000647,1.00000000,1.00000000,0.00000000,0.00000000,2761,2761,1
col-72,WBGene00000648,1.00000000,1.00000000,0.00000000,0.00000000,3086,3086,1
col-85,WBGene00000660,1.00000000,1.00000000,0.00000000,0.00000000,1070,1070,1
col-94,WBGene00000669,0.00000031,0.00003726,4.72063574,0.00000000,2832,2832,1
col-98,WBGene00000673,0.00000010,0.00001416,4.36219001,0.00000000,50,-50,1
col-99,WBGene00000674,1.00000000,1.00000000,0.00000000,0.00000000,5547,5547,1
col-103,WBGene00000677,0.00000087,0.00008639,3.77655508,0.00000000,1324,1324,1
col-112,WBGene00000686,1.00000000,1.00000000,0.00000000,0.00000000,325,-325,1
col-117,WBGene00000691,1.00000000,1.00000000,0.00000000,0.00000000,1575,1575,1
col-144,WBGene00000717,1.00000000,1.00000000,0.00000000,0.00003400,1114,1114,1
col-160,WBGene00000733,0.00000000,0.00000001,6.09459347,0.00000157,1423,1423,1
col-181,WBGene00000754,0.00015763,0.00787244,2.63083118,0.00000000,1316,1316,1
col-182,WBGene00000755,1.00000000,1.00000000,0.00000000,0.00000000,948,-948,1
col-185,WBGene00000758,1.00000000,1.00000000,0.00000000,0.00000001,1933,1933,1
coq-3,WBGene00000763,1.00000000,1.00000000,0.00000000,0.00000000,4449,4449,1
cor-1,WBGene00000768,1.00000000,1.00000000,0.00000000,0.00000000,357,-357,1
cpf-1,WBGene00000773,1.00000000,1.00000000,0.00000000,0.00000000,2183,2183,2
cpf-2,WBGene00000774,1.00000000,1.00000000,0.00000000,0.00000000,2069,2069,1
cpl-1,WBGene00000776,1.00000000,1.00000000,0.00000000,0.00000009,2106,2106,2
cpn-3,WBGene00000779,1.00000000,1.00000000,0.00000000,0.00000000,583,-583,1
cpn-4,WBGene00000780,1.00000000,1.00000000,0.00000000,0.00000000,3304,3304,1
cpr-4,WBGene00000784,1.00000000,1.00000000,0.00000000,0.00000000,131,-131,1
cpz-1,WBGene00000788,1.00000000,1.00000000,0.00000000,0.00000000,2594,2594,1
cpz-2,WBGene00000789,1.00000000,1.00000000,0.00000000,0.00000000,837,-837,1
crh-1,WBGene00000793,1.00000000,1.00000000,0.00000000,0.00000000,303,-303,1
crn-1,WBGene00000794,1.00000000,1.00000000,0.00000000,0.00012165,389,-389,1
crt-1,WBGene00000802,1.00000000,1.00000000,0.00000000,0.00000000,171,-171,2
csb-1,WBGene00000803,1.00000000,1.00000000,0.00000000,0.00000000,5156,5156,1
csc-1,WBGene00000804,1.00000000,1.00000000,0.00000000,0.00000000,157,-157,1
csk-1,WBGene00000812,1.00000000,1.00000000,0.00000000,0.00000000,1693,-1693,1
csn-1,WBGene00000813,1.00000000,1.00000000,0.00000000,0.00000157,9421,9421,2
cts-1,WBGene00000833,1.00000000,1.00000000,0.00000000,0.00000000,1770,1770,1
cul-1,WBGene00000836,1.00000000,1.00000000,0.00000000,0.00011103,76,-76,1
cul-2,WBGene00000837,1.00000000,1.00000000,0.00000000,0.00000006,200,200,1
cul-3,WBGene00000838,1.00000000,1.00000000,0.00000000,0.00000000,319,-319,1
cul-4,WBGene00000839,1.00000000,1.00000000,0.00000000,0.00000000,213,-213,1
cul-5,WBGene00000840,1.00000000,1.00000000,0.00000000,0.00000033,1212,-1212,1
cup-2,WBGene00000843,1.00000000,1.00000000,0.00000000,0.00000000,1851,1851,1
cux-7,WBGene00000854,1.00000000,1.00000000,0.00000000,0.00000000,2251,2251,1
