Gene_Public_Name,Gene_WB220ID,DE_Pval,DE_FDR,DE_logFC,TFhit_pval,TFHit_MinAbsDistance,TFHit_MinRelDistance,TotalHits_in_range
alh-12,WBGene00000118,0.00044166,0.01721108,2.56601368,0.00001200,115,-115,1
col-8,WBGene00000597,0.00004309,0.00264604,2.96971011,0.00000006,862,-862,1
col-94,WBGene00000669,0.00000031,0.00003726,4.72063574,0.00000000,1815,-1815,1
col-98,WBGene00000673,0.00000010,0.00001416,4.36219001,0.00000000,50,-50,1
col-103,WBGene00000677,0.00000087,0.00008639,3.77655508,0.00000000,58,-58,1
col-160,WBGene00000733,0.00000000,0.00000001,6.09459347,0.00000157,216,-216,1
col-181,WBGene00000754,0.00015763,0.00787244,2.63083118,0.00000000,1316,1316,1
dhs-2,WBGene00000966,0.00000000,0.00000243,6.19559100,0.00000002,119,-119,1
elo-2,WBGene00001240,0.00071325,0.02502828,2.49591519,0.00057671,121,-121,1
elo-6,WBGene00001244,0.00000000,0.00000040,4.84884177,0.00001570,257,-257,1
fat-5,WBGene00001397,0.00000000,0.00000001,5.86147568,0.00000060,423,-423,1
fmo-2,WBGene00001477,0.00003887,0.00241155,-5.46875174,0.00000000,81,-81,1
gst-24,WBGene00001772,0.00063966,0.03493588,-2.82233091,0.00000000,1422,1422,1
haf-9,WBGene00001819,0.00002210,0.00242517,3.34243239,0.00000000,1044,1044,1
hsp-16.1,WBGene00002015,0.00123635,0.03805810,-2.31219396,0.00000000,1188,-1188,1
hsp-16.11,WBGene00002017,0.00123635,0.03805810,-2.31219396,0.00000000,1107,-1107,1
ins-11,WBGene00002094,0.00002248,0.00244465,-32.85540876,0.00000000,563,563,1
lec-6,WBGene00002269,0.00027766,0.01210854,2.55994370,0.00000000,141,-141,1
nhr-68,WBGene00003658,0.00164175,0.04716722,2.57564238,0.00000000,437,-437,1
pho-1,WBGene00004020,0.00000537,0.00080347,4.28305384,0.00000001,1953,-1953,1
ppw-1,WBGene00004093,0.00050299,0.04691299,-2.41303693,0.00004710,360,360,1
rpl-38,WBGene00004452,0.00029498,0.03074694,-2.58048745,0.00000000,334,-334,1
rpl-39,WBGene00004453,0.00038574,0.03918557,-2.48217449,0.00000000,358,-358,1
spp-8,WBGene00004993,0.00001167,0.00085634,3.20367361,0.00000028,149,-149,1
spp-18,WBGene00005003,0.00100214,0.03162700,2.99067988,0.00000000,10,10,1
cyp-29A4,WBGene00007140,0.00149543,0.04379309,2.88174551,0.00019297,372,-372,1
B0564.3,WBGene00007203,0.00004851,0.00284828,-3.92752744,0.00000000,64,-64,2
pho-11,WBGene00007331,0.00000000,0.00000000,8.86887017,0.00000000,643,-643,1
C18D11.6,WBGene00007682,0.00022223,0.01013170,-3.50437565,0.00000000,30,-30,2
C40H1.7,WBGene00008042,0.00057184,0.03181282,3.96818050,0.00000007,1677,1677,1
C47A4.2,WBGene00008123,0.00100641,0.03162700,31.71215532,0.00000000,1627,-1627,1
C48B4.1,WBGene00008167,0.00005802,0.00335713,3.35000795,0.00002180,1754,1754,1
cdr-2,WBGene00008296,0.00000007,0.00001107,5.24090651,0.00000378,1815,1815,1
D1086.3,WBGene00008390,0.00000001,0.00000302,4.68284144,0.00000001,322,-322,1
cyp-37A1,WBGene00008499,0.00000591,0.00087245,3.76443383,0.00000000,1426,-1426,1
F08G2.5,WBGene00008577,0.00028149,0.01923930,-2.67589426,0.00000000,1128,-1128,1
F11E6.3,WBGene00008707,0.00002595,0.00174505,3.19117282,0.00000000,220,-220,1
F32H5.1,WBGene00009347,0.00012685,0.01004807,3.36551600,0.00000000,460,460,2
F42A8.1,WBGene00009626,0.00023058,0.01043336,2.86116915,0.00002310,1257,1257,1
lipl-2,WBGene00009773,0.00000000,0.00000000,36.36240928,0.00000000,1625,-1625,1
scl-2,WBGene00009895,0.00000000,0.00000000,7.69447861,0.00005450,31,-31,1
K06A4.7,WBGene00010597,0.00010806,0.01257533,-2.98932806,0.00037624,1825,1825,1
asah-1,WBGene00010769,0.00000001,0.00000216,4.51555717,0.00007790,40,-40,1
LLC1.2,WBGene00010793,0.00047666,0.01809714,2.47635002,0.00015527,16,-16,1
T01D3.6,WBGene00011330,0.00014348,0.00728651,2.71091466,0.00000000,1371,-1371,1
T04A8.5,WBGene00011407,0.00000836,0.00111153,4.83944719,0.00000000,504,504,1
T12D8.5,WBGene00011733,0.00164175,0.04716722,2.57564238,0.00000000,17,17,1
T23F11.2,WBGene00011954,0.00021796,0.01005121,-32.18090706,0.00000001,1143,-1143,1
T26H2.5,WBGene00012067,0.00000001,0.00000205,-34.70543811,0.00095074,200,-200,1
asic-2,WBGene00012137,0.00001189,0.00086220,-4.22363924,0.00000000,90,90,2
oac-54,WBGene00012323,0.00000836,0.00110075,-4.47731212,0.00000298,1625,-1625,1
dct-16,WBGene00012615,0.00000085,0.00008596,3.76646472,0.00000002,76,-76,1
Y39B6A.1,WBGene00012664,0.00039745,0.01579834,2.55114782,0.00000033,136,136,2
Y41C4A.11,WBGene00012757,0.00000169,0.00030677,-4.53911862,0.00000000,235,-235,1
grsp-1,WBGene00012840,0.00040374,0.01598483,3.11621076,0.00000039,1276,-1276,1
Y49E10.16,WBGene00013035,0.00123952,0.03805828,2.30324124,0.00000000,584,-584,1
Y69H2.14,WBGene00013489,0.00000013,0.00001754,4.15489123,0.00000000,703,-703,1
Y105C5A.13,WBGene00013637,0.00005780,0.00708381,-4.88374567,0.00025938,120,-120,1
Y105C5B.9,WBGene00013650,0.00015738,0.00787244,4.61871110,0.00000000,526,-526,2
nhr-247,WBGene00014193,0.00072685,0.03829897,-32.06185963,0.00000165,222,-222,1
gstk-1,WBGene00014251,0.00010810,0.00897912,2.97741083,0.00000000,503,-503,1
C06A8.3,WBGene00015514,0.00034270,0.01406210,2.56687217,0.00001480,69,69,1
fbxa-163,WBGene00015598,0.00000000,0.00000003,-6.36206416,0.00037607,1607,1607,1
C14B9.10,WBGene00015755,0.00017180,0.01889311,-2.86970487,0.00000000,277,-277,1
C17F4.7,WBGene00015913,0.00000003,0.00000572,4.13524543,0.00000049,17,17,1
dod-3,WBGene00016052,0.00000000,0.00000000,7.83045628,0.00000000,31,31,1
F16B4.2,WBGene00017504,0.00053080,0.01953743,-2.96060483,0.00000008,1715,-1715,1
clec-1,WBGene00017772,0.00003147,0.00205867,3.12420355,0.00000000,123,123,2
F31F7.1,WBGene00017964,0.00069900,0.03715883,2.42495297,0.00000000,16,-16,3
btb-16,WBGene00018195,0.00100520,0.03162700,3.14595811,0.00033687,1,-1,1
btb-17,WBGene00018200,0.00079717,0.02647700,4.23168798,0.00033687,1493,1493,1
F43H9.4,WBGene00018400,0.00074451,0.03888666,2.65502262,0.00000000,114,-114,2
F48G7.2,WBGene00018614,0.00001514,0.00183005,-4.35995517,0.00000000,746,-746,1
bcmo-2,WBGene00018755,0.00015473,0.00782482,4.20367361,0.00000002,659,-659,1
F58A6.1,WBGene00019022,0.00029139,0.01949743,4.10248159,0.00000000,94,-94,1
cpt-4,WBGene00019644,0.00000061,0.00006512,-4.75415396,0.00000000,180,-180,1
R03G5.5,WBGene00019846,0.00079717,0.02647700,4.23168798,0.00000011,1214,1214,1
R04E5.2,WBGene00019869,0.00009907,0.00520722,3.92356569,0.00000000,966,-966,1
aagr-2,WBGene00019895,0.00046843,0.01801303,2.43928340,0.00000000,341,-341,1
clec-53,WBGene00020191,0.00053040,0.01953743,31.86415842,0.00000055,565,-565,1
T08H10.1,WBGene00020369,0.00035108,0.01422764,2.64275658,0.00000001,196,-196,1
T22F3.11,WBGene00020700,0.00001337,0.00095753,-3.97125208,0.00000231,26,26,1
cyp-32B1,WBGene00021167,0.00000656,0.00051984,5.61871110,0.00000554,29,-29,1
Y46H3A.5,WBGene00021601,0.00000600,0.00048498,-4.82630374,0.00007170,202,-202,1
Y51F10.7,WBGene00021768,0.00000000,0.00000004,7.57016725,0.00003880,151,-151,1
daao-1,WBGene00022076,0.00000040,0.00009204,33.62357853,0.00000332,903,-903,1
Y119D3B.21,WBGene00022497,0.00000121,0.00025511,-3.62693231,0.00000010,62,-62,1
F12E12.11,WBGene00044811,0.00100641,0.03162700,31.71215532,0.00000000,465,465,1
F18E3.13,WBGene00045276,0.00045879,0.01775564,3.59014195,0.00000000,6,-6,1
